rank,Status_name,Youtuber,subscribers,video_views,category,uploads,Country,Abbreviation,video_views_rank,country_rank,channel_type_rank,video_views_for_the_last_30_days,lowest_monthly_earnings,highest_monthly_earnings,lowest_yearly_earnings,highest_yearly_earnings,subscribers_for_last_30_days,created_year,created_month,created_day,Created_month_number,Created_date
215,ok,D Billions,26200000,31977463002,,775,United States,US,33,64,58,487076000,121800,1900000,1500000,23400000,200000,2019,Jul,27,7,7/27/2019
216,corrupted,Junya.����,26200000,16097531087,Entertainment,5985,Japan,JP,184,2,56,721848000,180500,2900000,2200000,34600000,1100000,2020,Sep,14,9,9/14/2020
217,ok,Smosh,26100000,10435474336,Comedy,1619,United States,US,410,65,13,68156000,17000,272600,204500,3300000,400000,2005,Nov,19,11,11/19/2005
218,ok,1MILLION Dance Studio,26100000,7886440199,Entertainment,0,Saudi Arabia,SA,4057944,3695,5641,,0,0,0,0,,2019,Jul,13,7,7/13/2019
219,ok,NichLmao,26000000,14101010609,People & Blogs,868,,,249,,6,606362000,151600,2400000,1800000,29100000,1100000,2018,Sep,25,9,9/25/2018
220,corrupted,Beyonc�,26000000,17308961985,Music,240,United States,US,163,66,66,55454000,13900,221800,166400,2700000,,2005,Nov,7,11,11/7/2005
221,corrupted,Mar�����,26000000,18597534412,Music,1,,,4057142,,4914,3,0,0.01,0.01,0.14,3,2008,Jun,14,6,6/14/2008
222,ok,Indosiar,25900000,11372071889,Music,65286,Indonesia,ID,358,5,60,230183000,57500,920700,690500,11000000,600000,2013,Sep,23,9,9/23/2013
223,ok,VanossGaming,25800000,15541421838,Gaming,1762,Canada,CA,206,5,17,54947000,13700,219800,164800,2600000,,2011,Sep,15,9,9/15/2011
224,ok,David Guetta,25700000,17793809548,Music,749,United States,US,153,67,67,164215000,41100,656900,492600,7900000,100000,2009,Dec,11,12,12/11/2009
225,ok,LosPolinesios,25700000,7466926260,People & Blogs,982,Mexico,MX,746,8,7,30501000,7600,122000,91500,1500000,,2012,Dec,16,12,12/16/2012
226,ok,Nicki Minaj,25700000,10242981063,Music,42,United States,US,425,67,67,103631000,25900,414500,310900,5000000,100000,2013,Aug,28,8,8/28/2013
227,ok,Fede Vigevani,25600000,7962725960,Howto & Style,0,,,4057944,,,,0,0,0,0,2,2019,Aug,1,8,8/1/2019
228,ok,TaylorSwiftVEVO,25600000,25592378292,Music,287,United States,US,67,68,68,318593000,79600,1300000,955800,15300000,100000,2009,May,12,5,5/12/2009
229,ok,ZHC,25500000,2726917087,Film & Animation,5,,,4042995,,6739,20,0.01,0.08,0.06,0.96,4,2006,Jan,24,1,1/24/2006
230,ok,Post Malone,25500000,14401218086,Music,78,United States,US,243,69,69,195499000,48900,782000,586500,9400000,100000,2011,Dec,15,12,12/15/2011
231,ok,Rans Entertainment,25400000,6430853035,People & Blogs,3716,Indonesia,ID,942,6,62,58487000,14600,233900,175500,2800000,100000,2015,Dec,27,12,12/27/2015
232,ok,LankyBox,25400000,34300482066,Comedy,8775,United States,US,29,69,18,815341000,203800,3300000,2400000,39100000,600000,2016,Jul,30,7,7/30/2016
233,ok,Coldplay,25300000,17331663193,Music,398,United Kingdom,GB,160,8,70,198875000,49700,795500,596600,9500000,100000,2010,Jan,3,1,1/3/2010
234,ok,Las Ratitas,25200000,9602246828,People & Blogs,4,,,4051936,,7690,11,0,0.04,0.03,0.53,,2019,May,31,5,5/31/2019
235,ok,WB Kids,25200000,11081602368,People & Blogs,2025,United States,US,375,70,16,140319000,35100,561300,421000,6700000,300000,2015,Mar,31,3,3/31/2015
236,ok,ABPLIVE,25200000,7968363381,People & Blogs,12,,,4026389,,7421,2,0,0.01,0.01,0.1,,2014,Jul,26,7,7/26/2014
237,ok,Chris Brown,25200000,15520569496,Music,0,,,3612215,,,,0,0,0,0,,,,,#N/A,#N/A
238,ok,The Lallantop,25200000,10409352249,News & Politics,51129,India,IN,408,52,6,273920000,68500,1100000,821800,13100000,300000,2015,Mar,23,3,3/23/2015
239,ok,RihannaVEVO,25100000,19458807708,Music,118,United States,US,130,71,72,94246000,23600,377000,282700,4500000,,2009,May,12,5,5/12/2009
240,ok,WatchMojo.com,25100000,16357064198,Music,24837,Canada,CA,180,6,64,49009000,12300,196000,147000,2400000,,2007,Jan,25,1,1/25/2007
241,ok,TRANS7 OFFICIAL,25000000,14169516119,Entertainment,89179,Indonesia,ID,251,7,64,123189000,30800,492800,369600,5900000,100000,2014,Sep,4,9,9/4/2014
242,ok,Anuel AA,25000000,14827085149,Music,147,Colombia,CO,225,6,73,284144000,71000,1100000,852400,13600000,300000,2016,Sep,8,9,9/8/2016
243,ok,Dan Rhodes,24800000,17387583720,Entertainment,1644,United Kingdom,GB,157,9,66,331889000,83000,1300000,995700,15900000,500000,2015,Oct,30,10,10/30/2015
244,ok,Yuya,24800000,2588501115,Howto & Style,672,Mexico,MX,3505,9,6,336291,84,1300,1000,16100,,2009,Sep,20,9,9/20/2009
245,ok,America's Got Talent,24800000,3699352704,Entertainment,1894,United States,US,2122,72,65,134412000,33600,537600,403200,6500000,400000,2006,Jun,29,6,6/29/2006
246,ok,mujjuu___14,24800000,14655527943,People & Blogs,872,,,234,,8,400222000,100100,1600000,1200000,19200000,900000,2020,May,18,5,5/18/2020
247,ok,EminemVEVO,24700000,20531704527,Music,104,United States,US,115,73,74,139443000,34900,557800,418300,6700000,100000,2009,May,12,5,5/12/2009
248,ok,Chloe Ting,24700000,2994726412,Howto & Style,412,Australia,AU,2897,2,7,23263000,5800,93100,69800,1100000,,2011,Aug,17,8,8/17/2011
249,ok,KatyPerryVEVO,24600000,23755792542,Music,175,United States,US,82,74,75,88940000,22200,355800,266800,4300000,100000,2009,Dec,13,12,12/13/2009
250,ok,Mark Rober,24600000,3647987299,Science & Technology,120,United States,US,2178,74,3,88625000,22200,354500,265900,4300000,200000,2011,Oct,20,10,10/20/2011
251,corrupted,1theK (�����,24500000,23962070944,Music,18950,South Korea,KR,79,6,67,105567000,26400,422300,316700,5100000,,2011,Jan,31,1,1/31/2011
252,ok,Like Nastya AE,24400000,12385924995,Entertainment,658,United States,US,312,75,68,169865000,42500,679500,509600,8200000,400000,2018,Dec,19,12,12/19/2018
253,ok,Amit Bhadana,24300000,2380248899,Entertainment,17,,,4054185,,7710,5,0,0.02,0.02,0.24,,2009,Dec,31,12,12/31/2009
254,ok,Pen Movies,24300000,6608773195,Film & Animation,1667,India,IN,903,53,17,94853000,23700,379400,284600,4600000,300000,2014,Mar,25,3,3/25/2014
255,corrupted,MrBeast en Espa��,24200000,2700914170,Entertainment,67,Mexico,MX,3309,10,70,33590000,8400,134400,100800,1600000,100000,2021,Jul,9,7,7/9/2021
256,ok,shfa show India,24200000,15724160183,,469,United Arab Emirates,AE,203,3,9,151208000,37800,604800,453600,7300000,200000,2019,Apr,1,4,4/1/2019
257,ok,Super JoJo - Nursery Rhymes & Kids Songs,24100000,329774870,,36,United States,US,40117,77,15,328503000,82100,1300000,985500,15800000,100000,2019,May,31,5,5/31/2019
258,ok,Alejo Igoa,24100000,10999000479,Comedy,802,Argentina,AR,376,4,71,401512000,100400,1600000,1200000,19300000,600000,2014,Jan,17,1,1/17/2014
259,ok,Daniel LaBelle,24100000,12916159065,Comedy,287,,,290,,14,398765000,99700,1600000,1200000,19100000,700000,2009,Mar,11,3,3/11/2009
260,corrupted,netd m��,24100000,56106087508,Music,23491,Turkey,TR,14,2,76,424815000,106200,1700000,1300000,20400000,200000,2014,Jan,23,1,1/23/2014
261,ok,DJ Snake,24100000,8425505919,Music,252,United States,US,602,77,76,63293000,15800,253200,189900,3000000,,2008,Sep,24,9,9/24/2008
262,ok,Diana and Roma ARA,24100000,11041261296,,590,United States,US,379,76,70,66884000,16700,267500,200700,3200000,200000,2019,Feb,1,2,2/1/2019
263,ok,KSI,24100000,6002166932,Entertainment,1252,United Kingdom,GB,1053,10,76,5439000,1400,21800,16300,261100,,2009,Jul,25,7,7/25/2009
264,ok,Spider Slack,24000000,13943030228,Comedy,901,Brazil,BR,252,13,14,761451000,190400,3000000,2300000,36500000,1100000,2020,May,18,5,5/18/2020
265,ok,Goldmines Movies,24000000,5652938599,Film & Animation,3,,,4057888,,7725,3,0,0.01,0.01,0.14,,2018,Apr,30,4,4/30/2018
266,ok,Preston,24000000,8279004442,Gaming,4009,United States,US,621,78,72,151697000,37900,606800,455100,7300000,200000,2012,Jul,4,7,7/4/2012
267,ok,James Charles,23900000,4067878931,Entertainment,505,United States,US,1860,79,73,58126000,14500,232500,174400,2800000,100000,2015,Dec,1,12,12/1/2015
268,ok,Collins Key,23900000,6582932625,Entertainment,257,United States,US,911,79,73,10853000,2700,43400,32600,520900,,2011,Aug,9,8,8/9/2011
269,ok,Diana and Roma EN,23900000,7213499085,People & Blogs,511,United States,US,787,79,73,177769000,44400,711100,533300,8500000,300000,2011,Dec,22,12,12/22/2011
270,ok,Venus Entertainment,23800000,5663125358,Entertainment,70,,,367929,,2500,31633,8,127,95,1500,,2016,May,17,5,5/17/2016
